[2026-06-27 16:01:50] INFO | src.services.data_5training_service | ============================================================
[2026-06-27 16:01:50] INFO | src.services.data_5training_service | TRAINING PIPELINE STARTED
[2026-06-27 16:01:50] INFO | src.services.data_5training_service | ============================================================
[2026-06-27 16:01:50] INFO | src.repositories.dataset_repository | Loading raw dataset from data/raw/creditcard.csv
[2026-06-27 16:01:53] INFO | src.services.data_2validation_service | Starting Data Validation
[2026-06-27 16:01:53] INFO | src.services.data_2validation_service | Dataset Shape: (284807, 31)
[2026-06-27 16:01:53] INFO | src.services.data_2validation_service | data validation passed
[2026-06-27 16:02:09] INFO | src.repositories.dataset_repository | Saved interim dataset to data/interim/cleaned.csv
[2026-06-27 16:02:10] INFO | src.services.data_4balancing_service | Class distribution before SMOTE: {0: 226602, 1: 378}
[2026-06-27 16:02:23] INFO | src.services.data_4balancing_service | Class distribution after SMOTE:  {0: 226602, 1: 113301}
[2026-06-27 16:02:23] INFO | src.models.model_factory | Creating Model: xgboost with params: {'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'eval_metric': 'auc', 'random_state': 42}
[2026-06-27 16:02:23] INFO | src.models.trainer | Training started .  X shape: (339903, 30),Fraud Cases: 113301,Legit cases : 226602
[2026-06-27 16:02:33] INFO | src.models.trainer | training complete.
[2026-06-27 16:02:33] INFO | src.models.evaluator | Evaluating model with threshold = 0.5
[2026-06-27 16:05:15] INFO | src.services.data_5training_service | ============================================================
[2026-06-27 16:05:15] INFO | src.services.data_5training_service | TRAINING PIPELINE STARTED
[2026-06-27 16:05:15] INFO | src.services.data_5training_service | ============================================================
[2026-06-27 16:05:15] INFO | src.repositories.dataset_repository | Loading raw dataset from data/raw/creditcard.csv
[2026-06-27 16:05:17] INFO | src.services.data_2validation_service | Starting Data Validation
[2026-06-27 16:05:17] INFO | src.services.data_2validation_service | Dataset Shape: (284807, 31)
[2026-06-27 16:05:17] INFO | src.services.data_2validation_service | data validation passed
[2026-06-27 16:05:31] INFO | src.repositories.dataset_repository | Saved interim dataset to data/interim/cleaned.csv
[2026-06-27 16:05:32] INFO | src.services.data_4balancing_service | Class distribution before SMOTE: {0: 226602, 1: 378}
[2026-06-27 16:05:40] INFO | src.services.data_4balancing_service | Class distribution after SMOTE:  {0: 226602, 1: 113301}
[2026-06-27 16:05:40] INFO | src.models.model_factory | Creating Model: xgboost with params: {'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'eval_metric': 'auc', 'random_state': 42}
[2026-06-27 16:05:40] INFO | src.models.trainer | Training started .  X shape: (339903, 30),Fraud Cases: 113301,Legit cases : 226602
[2026-06-27 16:05:47] INFO | src.models.trainer | training complete.
[2026-06-27 16:05:47] INFO | src.models.evaluator | Evaluating model with threshold = 0.5
